#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
1,USA,"26,911,375",,"454,213 ",,"16,629,530",,"9,827,632","23,860"
2,India,"10,767,206",,"154,522 ",,"10,448,406",+956,"164,278","8,944"
3,Brazil,"9,230,016",,"225,143 ",,"8,077,967",,"926,906","8,318"
4,Russia,"3,884,730","+16,643","74,158 ",+539,"3,340,545","+22,372","470,027","2,300"
5,UK,"3,835,783",,"106,564 ",,"1,767,972",,"1,961,247","3,832"
6,France,"3,201,461",,"76,512 ",,"225,319",,"2,899,630","3,228"
7,Spain,"2,852,729",,"59,081 ",,N/A,N/A,N/A,"4,894"
8,Italy,"2,560,957",,"88,845 ",,"2,024,523",,"447,589","2,252"
9,Turkey,"2,485,182",,"26,117 ",,"2,370,431",,"88,634","1,615"
10,Germany,"2,232,316",,"58,396 ",,"1,954,000","+18,400","219,920","4,348"
11,Colombia,"2,104,506",,"54,272 ",,"1,954,674",,"95,560","3,482"
12,Argentina,"1,933,853",,"48,249 ",,"1,729,999",,"155,605","3,554"
13,Mexico,"1,869,708","+5,448","159,100 ",+564,"1,425,748","+13,355","284,860","5,692"
14,Poland,"1,520,215","+4,326","37,476 ",+253,"1,281,396","+4,760","201,343","1,353"
15,South Africa,"1,456,309",,"44,399 ",,"1,306,022",,"105,888",546
16,Iran,"1,431,416","+6,820","58,110 ",+72,"1,223,197","+6,892","150,109","3,865"
17,Ukraine,"1,223,879","+2,394","22,924 ",+156,"1,035,372","+11,457","165,583",177
18,Peru,"1,142,716",,"41,181 ",,"1,057,145",,"44,390","1,855"
19,Indonesia,"1,099,687","+10,379","30,581 ",+304,"896,530","+12,848","172,576",
20,Czechia,"994,514","+7,117","16,545 ",+63,"885,279",+528,"92,690",988
21,Netherlands,"981,663",,"14,025 ",,N/A,N/A,N/A,639
22,Canada,"783,589",,"20,136 ",,"711,708",,"51,745",830
23,Romania,"732,732","+2,676","18,513 ",+111,"678,473","+2,706","35,746",967
24,Chile,"730,888",,"18,537 ",,"686,374",,"25,977","1,453"
25,Portugal,"726,321",,"12,757 ",,"534,384",,"179,180",865
26,Belgium,"711,417","+1,264","21,124 ",+32,"49,061",+52,"641,232",315
27,Israel,"656,016","+3,770","4,863 ",+47,"579,822","+6,614","71,331","1,143"
28,Iraq,"620,620",,"13,057 ",,"593,384",,"14,179",198
29,Sweden,"566,957",,"11,591 ",,N/A,N/A,N/A,246
30,Pakistan,"547,648","+1,220","11,746 ",+63,"502,537","+1,285","33,365","1,881"
31,Bangladesh,"536,107",+525,"8,149 ",+12,"480,728",+512,"47,230",
32,Philippines,"528,853","+1,583","10,874 ",+67,"487,611",+39,"30,368",727
33,Switzerland,"525,095",,"9,452 ",,"317,600",,"198,043",255
34,Morocco,"471,438",,"8,287 ",,"450,052",,"13,099",474
35,Austria,"416,763","+1,241","7,847 ",+69,"395,316","+1,569","13,600",300
36,Serbia,"397,002",,"4,038 ",,"31,536",,"361,428",145
37,Japan,"389,518",,"5,722 ",,"334,125",,"49,671",975
38,Hungary,"369,288",+578,"12,656 ",+78,"268,803","+4,543","87,829",272
39,Saudi Arabia,"368,329",,"6,379 ",,"359,839",,"2,111",371
40,Jordan,"328,062",,"4,326 ",,"315,464",,"8,272",129
41,Panama,"321,103",,"5,296 ",,"278,442",,"37,365",246
42,UAE,"309,649","+3,310",866 ,+7,"285,201","+3,791","23,582",
43,Lebanon,"303,072",,"3,145 ",,"180,877",,"119,050",960
44,Nepal,"271,289",+171,"2,030 ",+1,"266,859",+259,"2,400",
45,Georgia,"259,209",+858,"3,208 ",+14,"250,289",+580,"5,712",
46,Slovakia,"252,094","+1,737","4,784 ",+73,"222,642","+3,719","24,668",581
47,Ecuador,"250,986",,"14,890 ",,"209,814",,"26,282",525
48,Belarus,"249,994",+699,"1,737 ",+9,"237,178",+662,"11,079",
49,Croatia,"232,907",+387,"5,071 ",+17,"225,300",+385,"2,536",91
50,Azerbaijan,"230,296",,"3,136 ",,"223,475",,"3,685",
51,Malaysia,"222,628","+3,455",791 ,+21,"173,990","+3,661","47,847",327
52,Bulgaria,"219,580",,"9,142 ",,"188,972",,"21,466",265
53,Bolivia,"218,299","+1,464","10,439 ",+60,"160,326","+1,104","47,534",71
54,Dominican Republic,"215,086",,"2,688 ",,"158,775",,"53,623",293
55,Tunisia,"210,045",,"6,802 ",,"162,223",,"41,020",418
56,Denmark,"198,960",,"2,145 ",,"187,967",,"8,848",94
57,Ireland,"197,553",,"3,317 ",,"23,364",,"170,872",206
58,Costa Rica,"194,569",,"2,634 ",,"153,063",,"38,872",180
59,Kazakhstan,"189,131","+1,161","2,476 ",,"169,963","+1,195","16,692",221
60,Lithuania,"183,444",+546,"2,847 ",+22,"131,151","+1,882","49,446",173
61,Slovenia,"168,455","+1,619","3,541 ",+19,"147,687","+1,684","17,227",168
62,Armenia,"167,231",+143,"3,089 ",+5,"158,335",+535,"5,807",
63,Egypt,"166,492",,"9,360 ",,"130,107",,"27,025",90
64,Kuwait,"165,843",,959 ,,"158,476",,"6,408",54
65,Moldova,"160,086",,"3,446 ",,"150,502",,"6,138",249
66,Guatemala,"159,632",,"5,673 ",,"145,165",,"8,794",5
67,Palestine,"159,443",,"1,840 ",,"149,621",,"7,982",54
68,Greece,"157,495",,"5,829 ",,"144,144",,"7,522",248
69,Qatar,"151,720",,249 ,,"145,953",,"5,518",53
70,Honduras,"148,951","+1,108","3,614 ",+4,"60,979",+106,"84,358",409
71,Myanmar,"140,354",,"3,138 ",,"125,324",,"11,892",
72,Ethiopia,"138,384",,"2,103 ",,"122,968",,"13,313",230
73,Oman,"134,685",+161,"1,532 ",,"127,054",+105,"6,099",26
74,Paraguay,"133,781",,"2,733 ",,"109,227",,"21,821",247
75,Nigeria,"131,918",,"1,607 ",,"106,275",,"24,036",10
76,Venezuela,"127,346",,"1,196 ",,"119,291",,"6,859",109
77,Bosnia and Herzegovina,"122,199",,"4,724 ",,"95,180",,"22,295",
78,Libya,"120,434","+1,032","1,896 ",+13,"100,593","+1,007","17,945",
79,Algeria,"107,578",,"2,894 ",,"73,530",,"31,154",42
80,Bahrain,"103,582",,376 ,,"99,000",,"4,206",31
81,Kenya,"100,856",,"1,766 ",,"83,936",,"15,154",23
82,North Macedonia,"92,753",,"2,866 ",,"82,121",,"7,766",138
83,Kyrgyzstan,"84,646",+58,"1,414 ",+2,"81,102",+115,"2,130",50
84,Albania,"78,992",,"1,393 ",,"47,922",,"29,677",21
85,S. Korea,"78,844",+336,"1,435 ",+10,"68,775",+466,"8,634",224
86,Uzbekistan,"78,801",+46,621 ,,"77,286",+65,894,152
87,Ghana,"67,782",+772,424 ,+8,"61,843",+607,"5,515",44
88,Latvia,"67,427",+775,"1,219 ",+17,"55,708",+783,"10,500",104
89,Sri Lanka,"64,983",,323 ,,"58,075",,"6,585",
90,Norway,"63,262",,567 ,,"57,004",,"5,691",20
91,Montenegro,"61,972",,811 ,,"53,991",,"7,170",68
92,Singapore,"59,584",+19,29 ,,"59,271",,284,
93,Zambia,"56,233","+1,191",794 ,+14,"49,696",+302,"5,743",430
94,El Salvador,"55,195",,"1,638 ",+6,"49,037",,"4,520",87
95,Afghanistan,"55,174",+53,"2,406 ",+1,"47,798",+75,"4,970",957
96,Luxembourg,"50,733",,584 ,,"47,974",,"2,175",11
97,Finland,"45,784",+302,684 ,+7,"31,000",,"14,100",17
98,Estonia,"44,978",+467,424 ,+2,"34,927",+979,"9,627",38
99,Uruguay,"42,128",,444 ,,"35,535",,"6,149",89
100,Uganda,"39,606",,325 ,,"14,229",,"25,052",
101,Mozambique,"39,460",,386 ,,"24,593",,"14,481",
102,Namibia,"34,168",,353 ,,"32,564",,"1,251",17
103,Zimbabwe,"33,548",,"1,234 ",,"26,583",,"5,731",72
104,Cyprus,"30,996",,202 ,,"2,057",,"28,737",43
105,Cameroon,"29,617",,462 ,,"28,045",,"1,110",46
106,Australia,"28,824",+6,909 ,,"26,070",+9,"1,845",
107,Ivory Coast,"28,475",,156 ,,"26,495",,"1,824",
108,Cuba,"27,592",,216 ,,"21,856",,"5,520",48
109,Sudan,"27,273",,"1,812 ",,"21,504",,"3,957",
110,Senegal,"27,080",+153,641 ,+3,"22,363",+218,"4,076",56
111,Malawi,"24,365",,712 ,,"8,945",,"14,708",4
112,DRC,"23,043",+201,675 ,+3,"15,050",+17,"7,318",
113,Botswana,"22,738",,148 ,,"18,468",,"4,122",1
114,Thailand,"20,454",+836,79 ,+2,"13,217",+703,"7,158",1
115,Angola,"19,829",,466 ,,"18,180",,"1,183",16
116,Madagascar,"19,065",,281 ,,"18,215",,569,16
117,Malta,"18,168",+141,270 ,+1,"15,233",+132,"2,665",18
118,French Polynesia,"18,101",,132 ,,"4,842",,"13,127",14
119,Mauritania,"16,662",,422 ,,"15,738",,502,23
120,French Guiana,"16,134",,76 ,,"9,995",,"6,063",14
121,Maldives,"16,056",,52 ,,"14,190",,"1,814",142
122,Eswatini,"15,804",,574 ,,"10,650",,"4,580",67
123,Jamaica,"15,778",,352 ,,"12,068",,"3,358",8
124,Rwanda,"15,459",,198 ,,"10,272",,"4,989",18
125,Guinea,"14,555",,83 ,,"14,228",,244,24
126,Cabo Verde,"14,098",,134 ,,"13,251",,713,23
127,Syria,"14,096",,926 ,,"7,644",,"5,526",
128,Tajikistan,"13,308",,90 ,,"13,218",,0,
129,Belize,"11,945",,302 ,,"11,353",,290,3
130,Haiti,"11,590",,245 ,,"9,098",,"2,247",
131,Gabon,"10,952",,68 ,,"10,419",,465,12
132,Burkina Faso,"10,768",,121 ,,"9,397",,"1,250",
133,Hong Kong,"10,512",+25,183 ,+1,"9,549",+75,780,31
134,Réunion,"10,194",,46 ,,"9,528",,620,6
135,Andorra,"9,972",,101 ,,"9,206",,665,15
136,Guadeloupe,"9,097",,154 ,,"2,242",,"6,701",3
137,Lesotho,"8,900",,172 ,,"2,552",,"6,176",
138,Mayotte,"8,588",,61 ,,"2,964",,"5,563",9
139,Suriname,"8,449",,156 ,,"7,734",,559,19
140,Bahamas,"8,223",,176 ,,"6,784",,"1,263",13
141,Mali,"8,100",,330 ,,"5,959",,"1,811",
142,Congo,"7,887",,117 ,,"5,846",,"1,924",
143,Guyana,"7,654",,177  ,,"6,635",,842,5
144,Trinidad and Tobago,"7,566",,134 ,,"7,178",,254,2
145,Aruba,"6,986",,59 ,,"6,593",,334,11
146,Martinique,"6,402",,45 ,,98,,"6,259",2
147,Nicaragua,"6,253",,169 ,,"4,225",,"1,859",
148,Iceland,"6,009",,29 ,,"5,939",,41,
149,Djibouti,"5,933",+1,63 ,,"5,845",,25,
150,Equatorial Guinea,"5,534",,86 ,,"5,300",,148,2
151,Togo,"5,092",,79 ,,"4,282",,731,
152,CAR,"4,989",,63 ,,"4,885",,41,2
153,Somalia,"4,784",,130 ,,"3,666",,988,
154,Curaçao,"4,585",,21 ,,"4,502",,62,2
155,Niger,"4,537",,161 ,,"3,800",,576,3
156,Gambia,"4,139",,131 ,,"3,803",,205,1
157,Gibraltar,"4,128",,78 ,,"3,745",,305,27
158,South Sudan,"3,929",,64 ,,"3,613",,252,2
159,Benin,"3,893",,52 ,,"3,421",,420,
160,Channel Islands,"3,737",,82 ,,"3,286",,369,4
161,Sierra Leone,"3,634",,79 ,,"2,329",,"1,226",
162,Chad,"3,385",,121 ,,"2,470",,794,
163,San Marino,"3,025",,67 ,,"2,723",,235,7
164,Comoros,"2,811",,98 ,,"1,834",,879,
165,Guinea-Bissau,"2,634",,45 ,,"2,427",,162,5
166,Liechtenstein,"2,497",,52 ,,"2,376",,69,5
167,New Zealand,"2,307",+3,25 ,,"2,210",+2,72,
168,Eritrea,"2,135",,7 ,,"1,594",,534,
169,Yemen,"2,122",,615 ,,"1,426",,81,23
170,Liberia,"1,944",,84 ,,"1,760",,100,2
171,Sint Maarten,"1,870",,27 ,,"1,699",,144,1
172,Vietnam,"1,850",,35 ,,"1,460",,355,
173,Mongolia,"1,832",+18,2 ,,"1,371",+13,459,2
174,Burundi,"1,635",,2 ,,773,,860,
175,Barbados,"1,558",,14 ,,"1,169",,375,1
176,Turks and Caicos,"1,504",,9 ,,"1,140",,355,8
177,Monaco,"1,499",,14 ,,"1,283",,202,10
178,Saint Lucia,"1,411",,15 ,,626,,770,2
179,Sao Tome and Principe,"1,259",,17 ,,"1,045",,197,
180,Saint Martin,"1,234",,12 ,,"1,050",,172,7
181,Seychelles,"1,223",,5 ,,"1,052",,166,
182,St. Vincent Grenadines,"1,008",+57,2 ,,262,+11,744,2
183,Taiwan,915,+3,8 ,,832,+2,75,
184,Papua New Guinea,867,,9 ,,828,,30,
185,Bhutan,859,,1 ,,821,,37,
186,Diamond Princess,712,,13 ,,699,,0,
187,Bermuda,692,,12 ,,668,,12,5
188,Faeroe Islands,654,,1 ,,648,,5,1
189,Mauritius,582,,10 ,,536,,36,
190,Tanzania,509,,21 ,,183,,305,7
191,Cambodia,466,, ,,443,,23,
192,Isle of Man,434,,25 ,,398,,11,1
193,Cayman Islands,398,,2 ,,368,,28,1
194,Caribbean Netherlands,360,,3 ,,244,,113,
195,St. Barth,360,,1 ,,247,,112,
196,Antigua and Barbuda,234,,7 ,,177,,50,1
197,Brunei ,180,,3 ,,170,,7,
198,Grenada,148,,1 ,,142,,5,
199,Dominica,117,, ,,106,,11,
200,British Virgin Islands,114,,1 ,,95,,18,
201,Timor-Leste,75,+5, ,,55,,20,
202,Fiji,55,,2 ,,53,,0,
203,Macao,47,, ,,46,,1,
204,New Caledonia,47,, ,,47,,0,
205,Laos,44,, ,,41,,3,
206,Falkland Islands,41,, ,,34,,7,
207,Saint Kitts and Nevis,38,, ,,35,,3,
208,Greenland,30,, ,,30,,0,
209,Vatican City,27,, ,,15,,12,
210,Saint Pierre Miquelon,24,, ,,16,,8,
211,Anguilla,17,, ,,15,,2,
212,Solomon Islands,17,, ,,10,,7,
213,Montserrat,13,,1 ,,12,,0,
214,Western Sahara,10,,1 ,,8,,1,
215,MS Zaandam,9,,2 ,,7,,0,
216,Wallis and Futuna,5,, ,,4,,1,
217,Marshall Islands,4,, ,,4,,0,
218,Samoa,2,, ,,2,,0,
219,Micronesia,1,, ,,1,,0,
220,Vanuatu,1,, ,,1,,0,
221,China,"89,594",+30,"4,636 ",,"83,376",+62,"1,582",72
